ISO 3166-1 numeric code,Location,Year,Sex,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
96,         Brunei,1995,Male,19.217,16.843,14.698,13.68,14.786,15.964,13.93,13.935,11.205,7.3,4.394,3.093,2.227,1.761,1.134,0.648,0.301,0.212,0.035,0.006,0
96,         Brunei,1998,Both,36.472,34.681,30.519,28.552,31.676,34.08,31.438,26.461,22.31,15.357,9.165,5.77,4.773,3.355,1.855,1.392,0.815,0.373,0.156,0.02,0.002
96,         Brunei,1998,Female,17.812,16.904,14.883,14.392,16.129,17.073,15.992,12.606,10.115,6.931,4.13,2.598,2.375,1.709,0.822,0.676,0.422,0.221,0.082,0.013,0.001
96,         Brunei,1998,Male,18.661,17.777,15.636,14.159,15.549,17.008,15.449,13.855,12.194,8.424,5.035,3.172,2.398,1.645,1.036,0.716,0.395,0.153,0.075,0.007,0.001
96,         Brunei,2001,Both,34.475,35.012,32.912,30.034,32.658,36.439,34.367,29.344,24.51,18.155,11.719,6.877,5.049,3.889,1.947,1.247,0.919,0.392,0.147,0.023,0.002
96,         Brunei,2001,Female,16.869,17.063,16.182,14.892,16.977,18.235,17.49,14.601,11.538,8.467,5.613,3.289,2.531,2.045,0.941,0.587,0.451,0.229,0.086,0.014,0.001
96,         Brunei,2001,Male,17.604,17.946,16.727,15.143,15.686,18.205,16.881,14.744,12.968,9.686,6.103,3.588,2.518,1.845,1.006,0.659,0.469,0.164,0.062,0.009,0.001
96,         Brunei,2004,Both,33.365,34.812,33.832,32.131,35.032,36.753,35.921,30.831,26.364,20.266,14.513,9.347,6.107,4.196,2.701,1.68,1.048,0.456,0.128,0.038,0.002
96,         Brunei,2004,Female,16.273,17.065,16.447,16.064,17.461,18.127,17.785,15.293,12.683,9.561,6.911,4.543,3.087,2.133,1.387,0.847,0.515,0.243,0.085,0.021,0.001
96,         Brunei,2004,Male,17.092,17.747,17.385,16.067,17.573,18.626,18.138,15.538,13.68,10.702,7.6,4.804,3.019,2.063,1.312,0.835,0.532,0.215,0.044,0.017,0.001
96,         Brunei,2007,Both,32.145,34.647,34.791,34.262,36.247,37.362,36.27,32.432,27.64,22.385,16.624,11.054,6.98,4.819,3.229,2.019,1.219,0.551,0.154,0.032,0.002
96,         Brunei,2007,Female,15.497,16.924,16.867,16.699,17.685,18.037,17.671,16.004,13.378,10.632,7.961,5.404,3.479,2.466,1.678,1.035,0.616,0.285,0.092,0.021,0.001
96,         Brunei,2007,Male,16.647,17.722,17.922,17.562,18.561,19.326,18.599,16.428,14.264,11.753,8.664,5.652,3.501,2.352,1.548,0.984,0.604,0.265,0.06,0.011,0.001
96,         Brunei,2010,Both,31.426,33.913,35.547,35.006,38.7,39.016,36.307,33.214,29.115,23.637,18.872,13.016,7.67,4.736,3.846,2.5,1.339,0.606,0.165,0.028,0.003
96,         Brunei,2010,Female,15.281,16.507,17.063,17.047,18.423,18.298,17.375,16.245,14.34,11.223,9.028,6.417,3.944,2.305,2.067,1.339,0.653,0.324,0.095,0.019,0.002
96,         Brunei,2010,Male,16.145,17.406,18.483,17.958,20.277,20.718,18.931,16.969,14.773,12.414,9.845,6.599,3.727,2.43,1.779,1.16,0.685,0.283,0.07,0.009,0.001
96,         Brunei,2013,Both,32.361,32.285,34.854,35.357,36.429,39.452,38.191,35.072,31.633,26.797,21.467,16.313,10.376,5.865,3.893,2.896,1.542,0.664,0.224,0.042,0.003
96,         Brunei,2013,Female,15.703,15.738,16.843,17.058,17.63,18.616,17.997,16.948,15.573,13.05,10.172,7.904,5.237,3.004,1.97,1.612,0.825,0.335,0.13,0.025,0.002
96,         Brunei,2013,Male,16.658,16.546,18.012,18.3,18.799,20.838,20.194,18.125,16.06,13.747,11.295,8.409,5.137,2.861,1.923,1.285,0.717,0.33,0.096,0.017,0.001
96,         Brunei,2016,Both,34.28,31.339,33.347,35.606,35.122,38.337,39.384,36.921,33.743,29.762,24.247,19.292,13.515,7.896,4.43,3.121,1.816,0.754,0.239,0.042,0.003
96,         Brunei,2016,Female,16.708,15.235,16.259,17.113,17.112,18.37,18.507,17.604,16.469,14.721,11.631,9.247,6.678,4.103,2.231,1.707,1.033,0.407,0.136,0.026,0.002
96,         Brunei,2016,Male,17.574,16.104,17.088,18.492,18.01,19.966,20.876,19.316,17.273,15.043,12.616,10.045,6.838,3.791,2.199,1.413,0.783,0.348,0.104,0.016,0.001
96,         Brunei,2019,Both,33.403,32.914,31.649,34.583,35.898,35.962,39.441,38.757,35.584,32.149,27.492,21.806,16.712,10.676,5.74,3.23,2.125,0.889,0.262,0.06,0.004
96,         Brunei,2019,Female,16.265,16.018,15.404,16.804,17.283,17.511,18.73,18.243,17.153,15.822,13.541,10.398,8.133,5.416,3.045,1.661,1.239,0.518,0.145,0.037,0.003
96,         Brunei,2019,Male,17.136,16.898,16.245,17.78,18.615,18.45,20.71,20.513,18.432,16.326,13.951,11.408,8.58,5.261,2.695,1.569,0.885,0.371,0.116,0.021,0.001
116,         Cambodia,1950,Both,739.602,604.044,527.748,461.04,398.718,341.802,290.904,245.922,205.531,170.238,137.496,108.324,81.395,54.366,35.7,19.889,0,0,0,0,0
116,         Cambodia,1950,Female,366.995,299.879,261.631,228.276,197.37,169.321,144.229,122.196,102.918,86.19,70.483,56.813,43.35,29.987,19.89,11.119,0,0,0,0,0
116,         Cambodia,1950,Male,372.606,304.164,266.119,232.764,201.348,172.482,146.676,123.727,102.612,84.049,67.014,51.511,38.046,24.378,15.811,8.772,0,0,0,0,0
116,         Cambodia,1953,Both,885.52,644.502,553.012,484.018,419.285,360.138,307.097,260.068,218.276,180.203,145.332,113.476,84.935,57.994,35.722,20.926,0,0,0,0,0
116,         Cambodia,1953,Female,439.507,320.883,275.22,239.824,206.942,177.612,151.657,128.834,108.919,91.151,74.707,59.586,45.835,32.11,20.416,11.967,0,0,0,0,0
116,         Cambodia,1953,Male,446.014,323.618,277.793,244.192,212.343,182.526,155.441,131.233,109.36,89.05,70.625,53.889,39.102,25.885,15.307,8.96,0,0,0,0,0
116,         Cambodia,1956,Both,   1 011.730,714.667,585.32,510.549,443.59,381.688,326.149,276.581,232.994,192.965,155.609,120.973,89.989,62.092,37.367,20.91,0,0,0,0,0
116,         Cambodia,1956,Female,502.227,356.206,292.514,254.056,219.028,187.674,160.396,136.498,115.789,97.234,80.016,63.553,48.891,34.762,21.739,12.391,0,0,0,0,0
116,         Cambodia,1956,Male,509.503,358.462,292.806,256.493,224.56,194.014,165.753,140.084,117.204,95.732,75.591,57.419,41.101,27.331,15.627,8.52,0,0,0,0,0
116,         Cambodia,1959,Both,   1 052.169,853.981,628.055,540.135,469.041,404.408,346.121,294.267,248.332,206.827,166.937,129.856,95.901,66.056,40.737,21.35,0,0,0,0,0
116,         Cambodia,1959,Female,522.115,425.61,314.573,270.128,232.363,198.636,169.676,144.73,123.014,103.757,85.581,68.367,52.071,37.424,23.839,12.99,0,0,0,0,0
116,         Cambodia,1959,Male,530.052,428.372,313.481,270.006,236.677,205.772,176.446,149.538,125.318,103.07,81.356,61.49,43.832,28.632,16.898,8.36,0,0,0,0,0
116,         Cambodia,1962,Both,   1 096.747,961.976,732.232,571.011,495.565,428.393,367.409,313.058,264.772,221.158,179.487,139.792,103.191,70.904,44.126,23.377,0,0,0,0,0
116,         Cambodia,1962,Female,544.351,479.357,366.882,286.664,246.882,210.995,179.913,153.544,130.752,110.55,91.605,73.471,56.066,40.207,26.058,14.302,0,0,0,0,0
116,         Cambodia,1962,Male,552.397,482.618,365.349,284.347,248.681,217.397,187.495,159.514,134.022,110.608,87.882,66.323,47.125,30.696,18.069,9.075,0,0,0,0,0
116,         Cambodia,1965,Both,   1 176.633,993.41,855.956,623.849,520.905,449.533,386.538,329.925,280.005,234.745,191.841,150.045,111.069,75.911,47.014,25.019,0,0,0,0,0
116,         Cambodia,1965,Female,584.122,494.801,428.909,313.967,261.091,222.552,189.45,161.515,137.822,116.873,97.406,78.506,60.388,43.106,28.126,15.5,0,0,0,0,0
116,         Cambodia,1965,Male,592.51,498.61,427.049,309.882,259.812,226.981,197.087,168.41,142.183,117.871,94.434,71.539,50.682,32.805,18.887,9.516,0,0,0,0,0
116,         Cambodia,1968,Both,   1 200.497,   1 033.322,898.641,725.958,536.979,463.016,398.386,340.64,289.666,243.546,199.72,157.275,116.814,80.404,49.655,26.848,0,0,0,0,0
116,         Cambodia,1968,Female,596.15,515.003,450.296,365.68,270.436,230.947,196.212,166.791,142.283,120.909,101.055,81.935,63.353,45.639,29.543,16.71,0,0,0,0,0
116,         Cambodia,1968,Male,604.343,518.318,448.345,360.279,266.543,232.07,202.174,173.847,147.382,122.636,98.664,75.34,53.463,34.767,20.111,10.14,0,0,0,0,0
116,         Cambodia,1971,Both,   1 222.737,   1 074.998,932.874,813.645,599.739,481.662,413.803,354.868,302.42,255.237,210.194,166.457,124.21,85.732,53.056,28.01,0,0,0,0,0
116,         Cambodia,1971,Female,605.772,535.649,467.453,409.942,302.783,241.766,205.09,174.071,148.182,126.151,105.838,86.236,67.02,48.647,31.622,17.553,0,0,0,0,0
116,         Cambodia,1971,Male,616.986,539.359,465.424,403.702,296.952,239.896,208.721,180.807,154.249,129.091,104.357,80.214,57.179,37.072,21.421,10.447,0,0,0,0,0
116,         Cambodia,1974,Both,   1 290.210,   1 099.550,974.596,842.532,706.388,506.812,430.605,369.842,316.657,267.987,221.608,176.127,132.077,91.136,56.426,29.797,0,0,0,0,0
116,         Cambodia,1974,Female,637.627,547.223,489.619,425.918,357.718,255.912,215.586,182.806,155.273,132.062,111.18,90.983,70.985,51.578,33.711,18.652,0,0,0,0,0
116,         Cambodia,1974,Male,652.65,552.363,484.98,416.601,348.656,250.893,215.026,187.054,161.409,135.942,110.43,85.13,61.065,39.525,22.684,11.122,0,0,0,0,0
116,         Cambodia,1977,Both,   1 115.232,   1 051.563,919.289,795.838,700.409,539.954,414.291,360.122,312.087,265.105,219.615,174.997,131.134,90.367,55.898,29.66,0,0,0,0,0
116,         Cambodia,1977,Female,558.671,527.804,473.846,417.053,366.216,281.414,214.141,181.715,154.138,131.126,111.164,91.907,72.163,52.657,34.589,19.222,0,0,0,0,0
116,         Cambodia,1977,Male,556.547,523.744,445.443,378.795,334.2,258.544,200.15,178.401,157.944,133.974,108.449,83.091,58.977,37.715,21.316,10.442,0,0,0,0,0
116,         Cambodia,1980,Both,892.755,979.394,876.105,731.239,633.288,561.288,405.619,341.599,304.176,262.989,218.081,174.075,130.148,87.991,52.722,26.646,0,0,0,0,0
116,         Cambodia,1980,Female,455.028,490.917,455.335,404.442,351.792,306.47,220.821,180.897,152.432,129.39,110.195,92.7,73.948,54.08,35.466,19.4,0,0,0,0,0
116,         Cambodia,1980,Male,437.727,488.477,420.771,326.795,281.497,254.816,184.799,160.703,151.744,133.6,107.887,81.376,56.2,33.911,17.256,7.248,0,0,0,0,0
116,         Cambodia,1983,Both,   1 164.530,884.555,925.956,784.089,656.803,582.832,478.658,352.064,310.037,273.25,229.66,184.309,139.642,96.399,58.213,29.922,0,0,0,0,0
116,         Cambodia,1983,Female,585.985,447.104,469.742,419.929,367.676,321.898,261.521,190.922,161.133,135.588,114.429,95.942,77.237,57.222,37.608,21.148,0,0,0,0,0
116,         Cambodia,1983,Male,578.365,437.328,456.098,364.201,289.265,261.027,217.197,161.176,148.891,137.607,115.191,88.358,62.427,39.218,20.65,8.808,0,0,0,0,0
116,         Cambodia,1986,Both,   1 682.715,872.268,896.543,846.697,704.269,602.24,537.816,397.259,320.485,283.278,242.957,197.297,150.989,106.167,65.332,33.37,0,0,0,0,0
116,         Cambodia,1986,Female,827.951,443.327,450.031,436.389,386.599,334.542,294.131,216.64,171.209,143.448,120.119,100.238,81.163,60.991,40.563,22.679,0,0,0,0,0
116,         Cambodia,1986,Male,854.712,428.932,446.493,410.303,317.692,267.72,243.7,180.631,149.281,139.826,122.832,97.058,69.83,45.183,24.774,10.696,0,0,0,0,0
116,         Cambodia,1989,Both,   1 722.763,   1 294.091,779.243,906.03,775.234,644.099,561.851,481.208,343.09,295.012,257.775,212.934,164.123,117.012,73.868,38.417,0,0,0,0,0
116,         Cambodia,1989,Female,851.186,642.789,396.362,455.726,408.777,358.227,309.978,262.118,186.294,154.821,128.699,106.473,86.198,65.679,44.531,25.191,0,0,0,0,0
116,         Cambodia,1989,Male,871.606,651.321,382.886,450.316,366.451,285.854,251.859,219.082,156.791,140.189,129.079,106.465,77.924,51.33,29.333,13.222,0,0,0,0,0
116,         Cambodia,1992,Both,   1 695.551,   1 648.061,   1 017.846,838.387,864.072,717.9,603.324,536.008,413.535,314.949,274.12,231.48,181,130.022,84.1,44.861,18.7,6.077,1.328,0.176,0.007
116,         Cambodia,1992,Female,841.783,813.075,511.364,422.63,441.306,388.912,335.814,294.062,225.573,169.709,141.173,115.897,93.156,71.177,49.354,28.392,12.96,4.587,1.06,0.144,0.006
116,         Cambodia,1992,Male,853.83,835.054,506.508,415.773,422.774,328.952,267.463,241.915,187.938,145.227,132.947,115.589,87.843,58.836,34.735,16.46,5.734,1.488,0.27,0.034,0.001
116,         Cambodia,1995,Both,   1 765.385,   1 725.839,   1 460.144,823.892,910.605,806.697,666.935,570.303,498.584,355.821,293.797,251.488,201.035,146.102,95.194,53.346,20.743,6.241,1.255,0.142,0.01
116,         Cambodia,1995,Female,874.177,855.732,723.972,419.777,458.477,421.901,369.603,316.737,272.987,194.561,156.882,128.351,102.653,78.409,54.674,32.854,13.969,4.611,1,0.118,0.008
116,         Cambodia,1995,Male,891.208,870.107,736.174,404.116,452.128,384.796,297.331,253.566,225.596,161.261,136.914,123.136,98.381,67.692,40.52,20.493,6.775,1.629,0.257,0.024,0.002
116,         Cambodia,1998,Both,   1 665.905,   1 761.041,   1 718.988,   1 250.010,772.412,911.368,771.104,635.108,527.812,436.716,313.023,263.947,215.502,160.066,102.614,57.103,25.039,7.859,1.825,0.285,0.012
116,         Cambodia,1998,Female,822.735,866.965,849.163,628.645,396.12,464.167,407.655,352.74,298.526,242.876,174.005,142.956,113.983,86.146,57.477,33.693,15.791,5.635,1.4,0.23,0.01
116,         Cambodia,1998,Male,843.193,894.099,869.846,621.372,376.291,447.202,363.442,282.351,229.27,193.829,139.008,120.985,101.517,73.92,45.134,23.407,9.245,2.223,0.427,0.056,0.002
116,         Cambodia,2001,Both,   1 538.456,   1 741.595,   1 722.909,   1 710.880,880.215,875.324,852.564,743.378,569.671,498.457,365.616,283.426,228.836,176.706,114.424,62.659,26.552,8.671,1.893,0.227,0.014
116,         Cambodia,2001,Female,761.212,856.248,843.464,853.174,452.332,448.125,439.778,397.016,325.941,284.112,207.264,160.013,126.248,97.775,64.3,36.391,15.86,5.837,1.45,0.182,0.012
116,         Cambodia,2001,Male,777.252,885.356,879.459,857.712,427.883,427.2,412.787,346.36,243.72,214.337,158.347,123.407,102.585,78.929,50.124,26.267,10.691,2.834,0.442,0.044,0.002
116,         Cambodia,2004,Both,   1 522.126,   1 639.872,   1 778.045,   1 629.624,   1 467.405,687.35,895.754,800.716,680.478,515.371,448.737,314.59,248.086,189.506,131.799,70.403,31.233,9.583,2.339,0.344,0.016
116,         Cambodia,2004,Female,754.787,804.776,871.64,802.745,743.892,357.818,461.419,420.514,374.158,303.471,257.391,180.105,141.752,106.409,75.392,40.704,18.847,6.003,1.724,0.268,0.013
116,         Cambodia,2004,Male,767.339,835.096,906.406,826.879,723.513,329.532,434.334,380.202,306.319,211.899,191.345,134.483,106.334,83.098,56.406,29.698,12.385,3.579,0.617,0.076,0.003
116,         Cambodia,2007,Both,   1 594.292,   1 527.306,   1 723.962,   1 560.885,   1 661.881,   1 051.478,744.76,848.656,758.26,593.577,482.826,376.608,269.655,203.648,144.351,83.232,36.337,11.959,2.604,0.397,0.019
116,         Cambodia,2007,Female,787.224,750.506,840.601,766.771,836.872,540.099,386.204,441.26,402.643,339.222,284.999,217.217,156.336,117.255,83.331,48.828,21.793,7.499,1.774,0.306,0.015
116,         Cambodia,2007,Male,807.069,776.8,883.363,794.116,825.009,511.379,358.557,407.396,355.618,254.354,197.825,159.392,113.315,86.393,61.018,34.403,14.542,4.46,0.827,0.092,0.003
116,         Cambodia,2010,Both,   1 671.681,   1 501.593,   1 595.342,   1 672.178,   1 316.156,   1 728.136,673.339,854.434,785.073,712.121,513.06,444.351,307.073,223.582,156.379,96.258,41.775,13.293,2.57,0.324,0.022
116,         Cambodia,2010,Female,813.647,743.467,779.206,809.211,665.433,880.04,350.418,441.59,412.551,381.357,306.61,259.866,178.55,131.756,91.263,57.578,25.38,8.48,1.716,0.247,0.018
116,         Cambodia,2010,Male,858.035,758.126,816.136,862.966,650.721,848.095,322.92,412.845,372.522,330.765,206.45,184.484,128.522,91.827,65.115,38.68,16.396,4.814,0.853,0.076,0.004
116,         Cambodia,2013,Both,   1 756.622,   1 563.264,   1 503.752,   1 640.218,   1 483.418,   1 477.312,   1 345.485,619.06,847.775,744.296,619.151,459.723,371.989,243.246,169.047,104.775,51.948,16.935,4.048,0.602,0.026
